"candidate","ESN","JJA","LMC","YFC","APB","MS"
"A",1,1,0,0,0,1
"B",0,0,0,0,1,0
"C",1,1,1,0,1,1
"D",1,0,0,1,1,1
"E",0,1,0,1,1,1
"F",0,1,1,1,0,0
"G",1,0,0,0,0,1
"H",0,0,1,1,1,1
"I",0,1,1,0,1,0
"J",0,0,1,0,0,0
"K",1,0,0,1,0,0
"L",1,1,1,1,0,0
