"candidate","ESN","JJA","LMC","YFC","APB","MS"
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,1,1,1,1,1,0
4,0,1,0,0,0,0
5,1,0,0,0,1,1
6,1,1,1,1,1,1
7,0,0,0,1,1,1
8,1,0,0,0,1,0
9,0,1,1,0,0,0
10,1,1,1,1,1,1
11,0,0,0,1,1,0
12,1,1,1,0,0,1
13,1,0,0,0,0,0
14,1,1,1,1,1,1
15,0,0,1,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,1,0,0,0,0
20,1,1,1,1,1,1
21,0,0,0,0,0,1
22,0,1,0,1,0,1
23,1,1,1,1,1,1
24,0,0,0,0,0,0
25,1,0,1,1,0,1
26,1,0,0,1,1,0
27,0,1,1,1,1,1
28,0,0,1,0,0,0
