"candidate","ESN","JJA","LMC","YFC","APB","MS"
"A",24,24,17,18,16,21
"B",18,17,17,17,23,19
"C",20,20.75,21,18,24,20.75
"D",21,18,18,22,21,20
"E",19,20,19,23,25,23
"F",16,20,23,21,15,19
"G",22,19,15,14,10,25
"H",17,18,22,22,22,20
"I",19,24,21,19,24,19
"J",15,19,23,17,14,19
"K",23,17,13,23,16,16
"L",20,22,20,22,19,18
